op1,op,op2,correct,strategy,rt
4,x,1,0,retrieve,1.43140589569161
5,x,1,0,retrieve,0.905827664399093
7,x,3,0,retrieve,1.3450340136054422
5,x,9,0,retrieve,1.5901814058956916
7,x,2,0,retrieve,1.0481179138321997
1,x,3,0,retrieve,0.9251473922902494
7,x,1,0,retrieve,0.847936507936508
6,x,3,0,procedure,1.2973015873015874
1,x,3,0,retrieve,0.8994784580498866
8,x,9,2,procedure,1.4918367346938777
3,x,1,0,retrieve,0.9699092970521542
9,x,2,0,retrieve,2.0470521541950113
2,x,8,0,retrieve,1.4617913832199547
4,x,3,0,retrieve,1.3286167800453514
1,x,4,0,retrieve,1.0020861678004536
4,x,2,0,retrieve,1.27140589569161
8,x,5,0,retrieve,1.7563038548752834
5,x,6,2,retrieve,2.1714965986394557
6,x,7,3,procedure,0.0
7,x,8,0,procedure,2.017006802721089
9,x,4,4,procedure,1.1870521541950114
3,x,4,0,retrieve,1.072312925170068
2,x,1,0,retrieve,1.2059410430839002
3,x,4,0,retrieve,1.1109977324263038
1,x,2,0,retrieve,1.082517006802721
2,x,3,0,retrieve,1.556734693877551
3,x,4,0,retrieve,1.029047619047619
4,x,1,0,retrieve,0.9454195011337868
5,x,2,0,retrieve,1.1375056689342404
8,x,3,0,procedure,2.4802721088435375
5,x,8,0,retrieve,1.469546485260771
3,x,1,0,retrieve,1.0370975056689342
2,x,4,0,retrieve,0.95421768707483
2,x,5,0,retrieve,1.4194557823129252
3,x,1,0,retrieve,0.9805442176870748
2,x,5,0,retrieve,1.0016780045351474
2,x,4,0,retrieve,1.176575963718821
3,x,8,0,procedure,1.8004761904761906
1,x,5,0,retrieve,0.851859410430839
2,x,1,0,retrieve,0.8414739229024943
4,x,2,0,retrieve,0.966938775510204
8,x,6,0,procedure,1.82437641723356
2,x,4,0,retrieve,1.128095238095238
9,x,8,2,procedure,1.7036281179138322
8,x,1,0,retrieve,0.9502721088435374
3,x,4,0,retrieve,1.1566213151927438
9,x,6,4,procedure,2.7891156462585034
2,x,5,0,retrieve,1.904126984126984
4,x,7,4,procedure,5.511292517006803
4,x,3,0,retrieve,1.0301133786848071
3,x,5,0,retrieve,1.2891383219954649
9,x,1,0,retrieve,1.3126984126984127
1,x,5,0,retrieve,1.031904761904762
4,x,8,2,procedure,2.3151473922902492
8,x,7,0,procedure,1.8302267573696145
2,x,7,0,procedure,1.29437641723356
1,x,9,0,retrieve,1.2991609977324263
5,x,2,0,retrieve,1.0899092970521542
1,x,5,0,retrieve,0.8256689342403628
1,x,2,0,retrieve,0.7929705215419501
6,x,5,2,retrieve,1.499750566893424
5,x,7,0,retrieve,1.683469387755102
4,x,2,0,retrieve,1.8092290249433107
9,x,3,0,procedure,3.4334013605442175
3,x,1,0,retrieve,0.927687074829932
7,x,9,0,procedure,3.4044897959183675
4,x,9,0,procedure,1.8694784580498869
6,x,8,0,procedure,2.5458956916099775
2,x,3,0,retrieve,1.161133786848073
1,x,3,0,retrieve,0.9166439909297052
5,x,2,0,retrieve,0.932607709750567
3,x,7,0,retrieve,1.39140589569161
3,x,1,0,retrieve,0.9361904761904762
2,x,9,0,retrieve,1.7998185941043083
